ACCT_ID,SUBSTATION,SUPPLY_TYPE,MR_SOURCE_CD,PAY_AMT,PAY_DAY
1922272000,NAGRA_20060,10,MOBILEBILL,450.0,11
7463845667,GALLA MANDI_20048,10,MOBILEBILL,1005.0,11
8025951421,MEDICAL_20054,10,MOBMRI,1091.0,25
7492572000,NAGRA_20060,10,SM,1039.0,4
8061326502,NAGRA_20060,10,MOBILEBILL,2745.0,17
4970082000,NANDANPUTRA_20061,10,MOBMRI,319.0,9
3609772000,NAGRA_20060,10,MOBMRI,3184.0,18
0593182000,NANDANPUTRA_20061,10,MOBMRI,2432.0,10
4810498839,BIJAULI_20057,10,,484.0,19
7138282000,GALLA MANDI_20048,10,MOBMRI,6409.0,4
3878982172,MEDICAL_20054,10,MOBILEBILL,3187.0,12
2883282000,NAGRA_20060,10,MOBILEBILL,1155.0,28
0661872000,NEW GALLA MANDI_20201,10,,2240.0,18
8791930667,NANDANPUTRA_20061,10,SM,7090.0,21
8049190052,HASARI_20059,10,MOBMRI,1002.0,18
5048490652,MEDICAL_20054,10,MOBILEBILL,507.0,20
9751336192,NANDANPUTRA_20061,10,MOBMRI,1733.0,6
9864282000,HASARI_20059,10,MOBILEBILL,3645.0,27
2072972000,BIJAULI_20057,10,MOBILEBILL,724.0,15
1426272000,NEW GALLA MANDI_20201,10,OCR_CORAL,2500.0,13
5726372000,NANDANPUTRA_20061,10,SM,5159.0,2
4964172000,GALLA MANDI_20048,10,MOBILEBILL,10238.0,16
0079872000,NAGRA_20060,10,MOBILEBILL,2012.0,17
6692714156,MEDICAL_20054,10,MOBILEBILL,1330.0,23
5029572000,NEW GALLA MANDI_20201,10,OCR_CORAL,1290.0,17
8452149919,HASARI_20059,10,MOBMRI,2081.0,4
8813906075,HASARI_20059,10,MOBMRI,5149.0,20
5095272000,NAGRA_20060,10,MOBMRI,850.0,12
9756938993,NEW GALLA MANDI_20201,10,MOBILEBILL,3130.0,25
6382272000,NANDANPUTRA_20061,10,MOBILEBILL,4324.0,12
9655372000,MEDICAL_20054,10,MOBILEBILL,2718.0,13
2390672000,NAGRA_20060,10,SM,4480.0,21
0185772000,GALLA MANDI_20048,10,OCR_CORAL,224.0,16
3610472000,NAGRA_20060,10,MOBILEBILL,1056.0,9
2824172000,GALLA MANDI_20048,10,SM,850.0,8
4846372000,NANDANPUTRA_20061,10,MOBMRI,3922.0,8
9437450519,NANDANPUTRA_20061,10,SM,1422.0,16
4465764921,NAGRA_20060,10,MOBMRI,3270.0,24
2322772000,NEW GALLA MANDI_20201,10,MOBMRI,7235.0,22
0263972000,NANDANPUTRA_20061,10,MOBMRI,832.0,20
5430862078,NEW GALLA MANDI_20201,47,MRI,105014.0,13
5454102628,NANDANPUTRA_20061,22,MRI,21184.0,14
7100823314,NAGRA_20060,10,SM,933.0,17
0118583948,NANDANPUTRA_20061,10,MOBMRI,2513.0,9
2286282000,GALLA MANDI_20048,10,OCR_CORAL,3000.0,10
7962082000,HASARI_20059,10,MOBILEBILL,4153.0,19
1608282000,NANDANPUTRA_20061,10,MOBMRI,4285.0,9
4144772000,NANDANPUTRA_20061,10,MOBILEBILL,2725.0,13
8159558297,NAGRA_20060,10,MOBILEBILL,4435.0,23
